"DIVISION";"SECTOR"
"01";"B-S_X_O"
"02";"B-S_X_O"
"03";"B-S_X_O"
"05";"B-F"
"06";"B-F"
"07";"B-F"
"08";"B-F"
"09";"B-F"
"10";"B-F"
"11";"B-F"
"12";"B-F"
"13";"B-F"
"14";"B-F"
"15";"B-F"
"16";"B-F"
"17";"B-F"
"18";"B-F"
"19";"B-F"
"20";"B-F"
"21";"B-F"
"22";"B-F"
"23";"B-F"
"24";"B-F"
"25";"B-F"
"26";"B-F"
"27";"B-F"
"28";"B-F"
"29";"B-F"
"30";"B-F"
"31";"B-F"
"32";"B-F"
"33";"B-F"
"35";"B-F"
"36";"B-F"
"37";"B-F"
"38";"B-F"
"39";"B-F"
"41";"B-F"
"42";"B-F"
"43";"B-F"
"45";"G-N"
"46";"G-N"
"47";"G-N"
"49";"G-N"
"50";"G-N"
"51";"G-N"
"52";"G-N"
"53";"G-N"
"55";"G-N"
"56";"G-N"
"58";"G-N"
"59";"G-N"
"60";"G-N"
"61";"G-N"
"62";"G-N"
"63";"G-N"
"64";"G-N"
"65";"G-N"
"66";"G-N"
"68";"G-N"
"69";"G-N"
"70";"G-N"
"71";"G-N"
"72";"G-N"
"73";"G-N"
"74";"G-N"
"75";"G-N"
"77";"G-N"
"78";"G-N"
"79";"G-N"
"80";"G-N"
"81";"G-N"
"82";"G-N"
"84";"B-S_X_O"
"85";"P-S"
"86";"P-S"
"87";"P-S"
"88";"P-S"
"90";"P-S"
"91";"P-S"
"92";"P-S"
"93";"P-S"
"94";"P-S"
"95";"P-S"
"96";"P-S"
"97";"B-S_X_O"
"98";"B-S_X_O"
