"DIVISION";"SECTOR"
"01";"TOTAL"
"02";"TOTAL"
"03";"TOTAL"
"05";"B-E"
"06";"B-E"
"07";"B-E"
"08";"B-E"
"09";"B-E"
"10";"B-E"
"11";"B-E"
"12";"B-E"
"13";"B-E"
"14";"B-E"
"15";"B-E"
"16";"B-E"
"17";"B-E"
"18";"B-E"
"19";"B-E"
"20";"B-E"
"21";"B-E"
"22";"B-E"
"23";"B-E"
"24";"B-E"
"25";"B-E"
"26";"B-E"
"27";"B-E"
"28";"B-E"
"29";"B-E"
"30";"B-E"
"31";"B-E"
"32";"B-E"
"33";"B-E"
"35";"B-E"
"36";"B-E"
"37";"B-E"
"38";"B-E"
"39";"B-E"
"41";"F"
"42";"F"
"43";"F"
"45";"G-I"
"46";"G-I"
"47";"G-I"
"49";"G-I"
"50";"G-I"
"51";"G-I"
"52";"G-I"
"53";"G-I"
"55";"G-I"
"56";"G-I"
"58";"J_K"
"59";"J_K"
"60";"J_K"
"61";"J_K"
"62";"J_K"
"63";"J_K"
"64";"J_K"
"65";"J_K"
"66";"J_K"
"68";"L-N_R_S"
"69";"L-N_R_S"
"70";"L-N_R_S"
"71";"L-N_R_S"
"72";"L-N_R_S"
"73";"L-N_R_S"
"74";"L-N_R_S"
"75";"L-N_R_S"
"77";"L-N_R_S"
"78";"L-N_R_S"
"79";"L-N_R_S"
"80";"L-N_R_S"
"81";"L-N_R_S"
"82";"L-N_R_S"
"84";"TOTAL"
"85";"TOTAL"
"86";"TOTAL"
"87";"TOTAL"
"88";"TOTAL"
"90";"L-N_R_S"
"91";"L-N_R_S"
"92";"L-N_R_S"
"93";"L-N_R_S"
"94";"L-N_R_S"
"95";"L-N_R_S"
"96";"L-N_R_S"
"97";"TOTAL"
"98";"TOTAL"
