"DIVISION";"SECTOR"
"01";"A"
"02";"A"
"03";"A"
"05";"B"
"06";"B"
"07";"B"
"08";"B"
"09";"C-T"
"10";"C-T"
"11";"C-T"
"12";"C-T"
"13";"C-T"
"14";"C-T"
"15";"C-T"
"16";"C-T"
"17";"C-T"
"18";"C-T"
"19";"C-T"
"20";"C-T"
"21";"C-T"
"22";"C-T"
"23";"C-T"
"24";"C-T"
"25";"C-T"
"26";"C-T"
"27";"C-T"
"28";"C-T"
"29";"C-T"
"30";"C-T"
"31";"C-T"
"32";"C-T"
"33";"C-T"
"35";"C-T"
"36";"C-T"
"37";"C-T"
"38";"C-T"
"39";"C-T"
"41";"C-T"
"42";"C-T"
"43";"C-T"
"45";"C-T"
"46";"C-T"
"47";"C-T"
"49";"C-T"
"50";"C-T"
"51";"C-T"
"52";"C-T"
"53";"C-T"
"55";"C-T"
"56";"C-T"
"58";"C-T"
"59";"C-T"
"60";"C-T"
"61";"C-T"
"62";"C-T"
"63";"C-T"
"64";"C-T"
"65";"C-T"
"66";"C-T"
"68";"C-T"
"69";"C-T"
"70";"C-T"
"71";"C-T"
"72";"C-T"
"73";"C-T"
"74";"C-T"
"75";"C-T"
"77";"C-T"
"78";"C-T"
"79";"C-T"
"80";"C-T"
"81";"C-T"
"82";"C-T"
"84";"C-T"
"85";"C-T"
"86";"C-T"
"87";"C-T"
"88";"C-T"
"90";"C-T"
"91";"C-T"
"92";"C-T"
"93";"C-T"
"94";"C-T"
"95";"C-T"
"96";"C-T"
"97";"C-T"
"98";"C-T"
