"DIVISION";"SECTOR"
"01";"A01"
"02";"A02"
"03";"A03"
"05";"B"
"06";"B"
"07";"B"
"08";"B"
"09";"B"
"10";"C10-C12"
"11";"C10-C12"
"12";"C10-C12"
"13";"C13-C15"
"14";"C13-C15"
"15";"C13-C15"
"16";"C16"
"17";"C17"
"18";"C18"
"19";"C19"
"20";"C20"
"21";"C21"
"22";"C22"
"23";"C23"
"24";"C24"
"25";"C25"
"26";"C26"
"27";"C27"
"28";"C28"
"29";"C29"
"30";"C30"
"31";"C31_C32"
"32";"C31_C32"
"33";"C33"
"35";"D"
"36";"E36"
"37";"E37-E39"
"38";"E37-E39"
"39";"E37-E39"
"41";"F"
"42";"F"
"43";"F"
"45";"G45"
"46";"G46"
"47";"G47"
"49";"H49"
"50";"H50"
"51";"H51"
"52";"H52"
"53";"H53"
"55";"I"
"56";"I"
"58";"J58"
"59";"J59_J60"
"60";"J59_J60"
"61";"J61"
"62";"J62_J63"
"63";"J62_J63"
"64";"K64"
"65";"K65"
"66";"K66"
"68";"L"
"69";"M69_M70"
"70";"M69_M70"
"71";"M71"
"72";"M72"
"73";"M73"
"74";"M74_M75"
"75";"M74_M75"
"77";"N77"
"78";"N78"
"79";"N79"
"80";"N80-N82"
"81";"N80-N82"
"82";"N80-N82"
"84";"O"
"85";"P"
"86";"Q86"
"87";"Q87_Q88"
"88";"Q87_Q88"
"90";"R90-R92"
"91";"R90-R92"
"92";"R90-R92"
"93";"R93"
"94";"S94"
"95";"S95"
"96";"S96"
"97";"T"
"98";"T"
