"DIVISION";"SECTOR"
"01";"A"
"02";"A"
"03";"A"
"05";"B"
"06";"B"
"07";"B"
"08";"B"
"09";"B"
"10";"C-E_X_D"
"11";"C-E_X_D"
"12";"C-E_X_D"
"13";"C-E_X_D"
"14";"C-E_X_D"
"15";"C-E_X_D"
"16";"C-E_X_D"
"17";"C-E_X_D"
"18";"C-E_X_D"
"19";"C-E_X_D"
"20";"C-E_X_D"
"21";"C-E_X_D"
"22";"C-E_X_D"
"23";"C-E_X_D"
"24";"C-E_X_D"
"25";"C-E_X_D"
"26";"C-E_X_D"
"27";"C-E_X_D"
"28";"C-E_X_D"
"29";"C-E_X_D"
"30";"C-E_X_D"
"31";"C-E_X_D"
"32";"C-E_X_D"
"33";"C-E_X_D"
"35";"D"
"36";"C-E_X_D"
"37";"C-E_X_D"
"38";"C-E_X_D"
"39";"C-E_X_D"
"41";"F"
"42";"F"
"43";"F"
"45";"G-T"
"46";"G-T"
"47";"G-T"
"49";"G-T"
"50";"G-T"
"51";"G-T"
"52";"G-T"
"53";"G-T"
"55";"G-T"
"56";"G-T"
"58";"G-T"
"59";"G-T"
"60";"G-T"
"61";"G-T"
"62";"G-T"
"63";"G-T"
"64";"G-T"
"65";"G-T"
"66";"G-T"
"68";"G-T"
"69";"G-T"
"70";"G-T"
"71";"G-T"
"72";"G-T"
"73";"G-T"
"74";"G-T"
"75";"G-T"
"77";"G-T"
"78";"G-T"
"79";"G-T"
"80";"G-T"
"81";"G-T"
"82";"G-T"
"84";"G-T"
"85";"G-T"
"86";"G-T"
"87";"G-T"
"88";"G-T"
"90";"G-T"
"91";"G-T"
"92";"G-T"
"93";"G-T"
"94";"G-T"
"95";"G-T"
"96";"G-T"
"97";"G-T"
"98";"G-T"
