"DIVISION";"BRANCH";"NACE_R2";"LIBELLE"
01;AZ;A;
02;AZ;A;
03;AZ;A;
05;BZ;B;
06;BZ;B;
07;BZ;B;
08;BZ;B;
09;BZ;B;
10;CA;C10-C12;
11;CA;C10-C12;
12;CA;C10-C12;
13;CB;C13-C15;
14;CB;C13-C15;
15;CB;C13-C15;
16;CC;C16-C18;
17;CC;C16-C18;
18;CC;C16-C18;
19;CD;C19;
20;CE;C20;
21;CF;C21;
22;CG;C22_C23;
23;CG;C22_C23;
24;CH;C24_C25;
25;CH;C24_C25;
26;CI;C26;
27;CJ;C27;
28;CK;C28;
29;CL;C29_C30;
30;CL;C29_C30;
31;CM;C31-C33;
32;CM;C31-C33;
33;CM;C31-C33;
35;DZ;D;
36;EZ;E;
37;EZ;E;
38;EZ;E;
39;EZ;E;
41;FZ;F;
42;FZ;F;
43;FZ;F;
45;GZ;G;
46;GZ;G;
47;GZ;G;
49;HZ;H;
50;HZ;H;
51;HZ;H;
52;HZ;H;
53;HZ;H;
55;IZ;I;
56;IZ;I;
58;JA;J58-J60;
59;JA;J58-J60;
60;JA;J58-J60;
61;JB;J61;
62;JC;J62_J63;
63;JC;J62_J63;
64;KZ;K;
65;KZ;K;
66;KZ;K;
68;LZ;L;
69;MA;M69-M71;
70;MA;M69-M71;
71;MA;M69-M71;
72;MB;M72;
73;MC;M73-M75;
74;MC;M73-M75;
75;MC;M73-M75;
77;NZ;N;
78;NZ;N;
79;NZ;N;
80;NZ;N;
81;NZ;N;
82;NZ;N;
84;OZ;O;
85;PZ;P;
86;QA;Q86;
87;QB;Q87_Q88;
88;QB;Q87_Q88;
90;RZ;R;
91;RZ;R;
92;RZ;R;
93;RZ;R;
94;SZ;S;
95;SZ;S;
96;SZ;S;
97;TZ;T;
98;TZ;T;
