"BRANCH";"AZ";"BZ";"CA";"CB";"CC";"CD";"CE";"CF";"CG";"CH";"CI";"CJ";"CK";"CL";"CM";"DZ";"EZ";"FZ";"GZ";"HZ";"IZ";"JA";"JB";"JC";"KZ";"LZ";"MA";"MB";"MC";"NZ";"OZ";"PZ";"QA";"QB";"RZ";"SZ";"TZ"
"AZ";0;0;0;0;0;0;0;0;0;0;0.00116392969989465;0;0.439184254011221;0.0185776402622946;0;0;0;0.305040506266775;0;0;0;0;0;0;0;0;0;0.032240854284143;0;0;0;0;0;0;0;0;0
"BZ";0;0;0;0;0;0;0;0;0;0;0.0133150675591886;0;0.289728421099099;0.0394051509863539;0;0;0;0.246668517490283;0;0;0;0;0;0;0;0;0;0.214464186563021;0;0;0;0;0;0;0;0;0
"CA";0;0;0;0;0;0;0;0;0;0;0.0247109988280253;0;0.462466782396111;0.0349783904138593;0;0;0;0.231539446227226;0;0;0;0;0;0;0;0;0;0.205849860592351;0;0;0;0;0;0;0;0;0
"CB";0;0;0;0;0;0;0;0;0;0;0.0102236277653921;0;0.291947445279112;0.0144698047160808;0;0;0;0.140666760444507;0;0;0;0;0;0;0;0;0;0.505275003516669;0;0;0;0;0;0;0;0;0
"CC";0;0;0;0;0;0;0;0;0;0;0.0215417504266077;0;0.529507624408667;0.0374891752222623;0;0;0;0.163682393555811;0;0;0;0;0;0;0;0;0;0.226283084004603;0;0;0;0;0;0;0;0;0
"CD";0;0;0;0;0;0;0;0;0;0;0.0264629523849666;0;0.426245824747472;0.0326895294167234;0;0;0;0.135821669258683;0;0;0;0;0;0;0;0;0;0.362882322446864;0;0;0;0;0;0;0;0;0
"CE";0;0;0;0;0;0;0;0;0;0;0.0307095289851254;0;0.377895159921452;0.0414148516726924;0;0;0;0.0826783620652221;0;0;0;0;0;0;0;0;0;0.456033696643363;0;0;0;0;0;0;0;0;0
"CF";0;0;0;0;0;0;0;0;0;0;0.00388386158768867;0;0.101172196913865;0.0049627120287133;0;0;0;0.048991083998123;0;0;0;0;0;0;0;0;0;0.829493195682778;0;0;0;0;0;0;0;0;0
"CG";0;0;0;0;0;0;0;0;0;0;0.0110447537581757;0;0.390694633532276;0.0324810568447599;0;0;0;0.120832608569606;0;0;0;0;0;0;0;0;0;0.435206122803966;0;0;0;0;0;0;0;0;0
"CH";0;0;0;0;0;0;0;0;0;0;0.0184572413614159;0;0.483729038738328;0.0352465557211514;0;0;0;0.124955223880597;0;0;0;0;0;0;0;0;0;0.327980099502488;0;0;0;0;0;0;0;0;0
"CI";0;0;0;0;0;0;0;0;0;0;0.00362771032117741;0;0.0506084989324683;0.0033270177544488;0;0;0;0.0131432520763293;0;0;0;0;0;0;0;0;0;0.92691555284829;0;0;0;0;0;0;0;0;0
"CJ";0;0;0;0;0;0;0;0;0;0;0.0107679611446972;0;0.16612941522611;0.0115588921836571;0;0;0;0.0441310801552866;0;0;0;0;0;0;0;0;0;0.764443936971911;0;0;0;0;0;0;0;0;0
"CK";0;0;0;0;0;0;0;0;0;0;0.0118049355645741;0;0.240814584775418;0.0172101928825135;0;0;0;0.0676697811754237;0;0;0;0;0;0;0;0;0;0.649354851757473;0;0;0;0;0;0;0;0;0
"CL";0;0;0;0;0;0;0;0;0;0;0.0102948461783541;0;0.182124530520941;0.015600593978678;0;0;0;0.0230772278797004;0;0;0;0;0;0;0;0;0;0.765804176407655;0;0;0;0;0;0;0;0;0
"CM";0;0;0;0;0;0;0;0;0;0;0.0149857787258013;0;0.278241812162192;0.0287227425577858;0;0;0;0.137374471287334;0;0;0;0;0;0;0;0;0;0.517710252484625;0;0;0;0;0;0;0;0;0
"DZ";0;0;0;0;0;0;0;0;0;0;0.0173759298316947;0;0.606428723715534;0.073568352410464;0;0;0;0.104782301998079;0;0;0;0;0;0;0;0;0;0.125493995563601;0;0;0;0;0;0;0;0;0
"EZ";0;0;0;0;0;0;0;0;0;0;0.0076610584839212;0;0.331066743904751;0.0464835867398864;0;0;0;0.521708369283865;0;0;0;0;0;0;0;0;0;0.0548058671268335;0;0;0;0;0;0;0;0;0
"FZ";0;0;0;0;0;0;0;0;0;0;0.0245194314595878;0;0.37577095960275;0.152037165852375;0;0;0;0.262461120259285;0;0;0;0;0;0;0;0;0;0.118664889307091;0;0;0;0;0;0;0;0;0
"GZ";0;0;0;0;0;0;0;0;0;0;0.0190302403249495;0;0.290741888789244;0.0777733409671038;0;0;0;0.360544176167574;0;0;0;0;0;0;0;0;0;0.17909719001001;0;0;0;0;0;0;0;0;0
