"BRANCH";"PRD";"IC";"CFC";"NVA"
"AZ";89479;53212;12107.9;24159.1
"BZ";4417;2733;1475.4;208.6
"CA";160941;115191;6443.3;39306.7
"CB";14819;9607;845.5;4366.5
"CC";32946;22529;2320.4;8096.6
"CD";19416;18283;696.1;436.9
"CE";59070;39501;5295.2;14273.8
"CF";29281;17261;4400.7;7619.3
"CG";49195;30483;3854.9;14857.1
"CH";69228;48246;5644.5;15337.5
"CI";25661;13938;9942.8;1780.2
"CJ";18720;12219;2159.6;4341.4
"CK";34434;23129;2817.7;8487.3
"CL";109498;88769;13832.4;6896.6
"CM";71885;41818;4789.4;25277.6
"DZ";116868;75348;14317.1;27202.9
"EZ";39228;24392;6385.3;8450.7
"FZ";274906;165943;8508.6;100454.4
"GZ";426312;214145;19522.6;192643.4
"HZ";193252;102109;22603;68540
"IZ";80123;38262;5933.1;35927.9
"JA";54559;28639;10955.4;14964.6
"JB";58987;34055;8036.4;16895.6
"JC";112541;47645;15642.9;49253.1
"KZ";237622;155748;18482.7;63391.3
"LZ";333675;57491;111578.3;164605.7
"MA";262753;142306;18080.7;102366.3
"MB";69355;32830;18376.7;18148.3
"MC";36008;20267;2573.1;13167.9
"NZ";203085;85586;20724.3;96774.7
"OZ";230891;62453;41366.4;127071.6
"PZ";138826;23290;11475.8;104060.2
"QA";179684;54512;9110.1;116061.9
"QB";87011;16808;6487.2;63714.8
"RZ";48057;19448;7634.2;20974.8
"SZ";42294;16253;2837.7;23203.3
"TZ";896;0;0;0
