"BRANCH";"AZ";"BZ";"CA";"CB";"CC";"CD";"CE";"CF";"CG";"CH";"CI";"CJ";"CK";"CL";"CM";"DZ";"EZ";"FZ";"GZ";"HZ";"IZ";"JA";"JB";"JC";"KZ";"LZ";"MA";"MB";"MC";"NZ";"OZ";"PZ";"QA";"QB";"RZ";"SZ";"TZ"
"AZ";0.336036482979698;0.00622042436269272;0.152705693787208;0.00400702182872844;0.018031598229278;0.0661158601740192;0.137288200274767;0.0222485116776065;0.0179171118913143;0.0137383605556404;0;0.00110670126698214;0.00841474584032972;0.00484658830712868;0.0612501908105633;0.0248053732254618;0.00988398717753015;0.00736528774232942;0.00631582964432911;0.00154556556250954;0.000705999084109296;0.00326286063196459;0.000725080140436575;1.90810563272783e-05;0.0405090825828118;0.000362540070218287;0.0294039078003358;0;0.00795680048847504;0.0126889024576401;0;0.00276675316745535;0;0;0;0.00169821401312777;0
"BZ";0;0.0404777704047777;0.0129396151293962;0.0019907100199071;0.0245520902455209;0.0580623755806238;0.0497677504976775;0;0.132382216323822;0.0567352355673524;0.00431320504313205;0.0086264100862641;0.170537491705375;0.0033178500331785;0.0414731254147313;0.042136695421367;0.0102853351028534;0.0149303251493033;0.033178500331785;0.0494359654943597;0.0195753151957532;0;0.0033178500331785;0.00033178500331785;0.0434638354346384;0.0228931652289317;0.0670205706702057;0;0.00696748506967485;0.0700066357000664;0;0.0099535500995355;0.00033178500331785;0;0;0;0
"CA";0.329126595708272;0.00578390773127075;0.287792190013347;0.00578390773127075;0.0197132003148636;0.00853896437249735;0.0154864985112427;0.00122351894315343;0.032324857113522;0.0146822273178411;0.000693042198569424;0.00207912659570827;0.0105753105855779;0.00345665491632157;0.00381601013039461;0.0256511174235942;0.0106266470447312;0.00104384133611691;0.0106266470447312;0.0256340052705431;0.00393579520175228;0.00179677607036517;0.00178821999383962;0.00503952907354803;0.0250265238372292;0.00574112734864301;0.0481364865327355;0;0.0288682021972005;0.0543909784729115;0;0.00474862247167939;0.000889831958657038;0;0.00065881789246723;0.00430370649235087;0
"CB";0.025281143753814;0.00261529073315317;0.0301630197890332;0.520181326824165;0.0197890332141923;0.00784587219945951;0.0809868363699765;0.000348705431087089;0.0329526632377299;0.0197018568564205;0.00165635079766367;0.00278964344869671;0.0165635079766367;0.00148199808212013;0.00270246709092494;0.0166506843344085;0.0163019789033214;0.00235376165983785;0.00854328306163368;0.0222299712318019;0.00348705431087089;0.0015691744398919;0.0031383488797838;0.00575363961293697;0.0272861999825647;0.00488187603521925;0.0323424287333275;0;0.0198762095719641;0.06050039229361;0;0.00575363961293697;0.000958939935489495;0;0.000610234504402406;0.00287681980646849;0
"CC";0.0859433332023421;0.00467638621448501;0.0077808779030927;0.0469603489605847;0.315322041890989;0.0107281801391127;0.0761975871419028;3.92973631469328e-05;0.027508154202853;0.0306519432546076;0.00459779148819114;0.00982434078673321;0.016976460879475;0.00165048925217118;0.0118678036703737;0.0626792942193579;0.0316736746964279;0.0026329233308445;0.0114355326757575;0.0383542264314065;0.00440130467245648;0.00157189452587731;0.00255432860455063;0.00656265964553778;0.0258969623138287;0.0118285063072268;0.063779620387472;0;0.0129288324753409;0.0641332966557944;0;0.00530514402483593;0.00055016308405706;0;0.000864541989232523;0.00216135497308131;0
"CD";0;0.641060392497018;0.00257508402905779;0.00189743033720048;0.00116556434999458;0.069310419603166;0.0281632874335899;0.00010842459069717;0.0265640247208067;0.0238805161010517;0.00357801149300661;0.00664100618020167;0.0106798221836713;0.00168058115580614;0.00284614550580072;0.0243955329068633;0.0153962918789982;0.00680364306624742;0.0102732299685569;0.0270790415266182;0.0032798438685894;0.000840290577903068;0.00187032418952618;0.00620730781741299;0.0140680906429578;0.00357801149300661;0.0295728071126532;0;0.00430987748021251;0.021495175105714;0;0.00463515125230402;0.000948715168600239;0;0.000704759839531606;0.0043640897755611;0
"CE";0.00203993055555556;0.0419704861111111;0.0523871527777778;0.00638020833333333;0.0174479166666667;0.147200520833333;0.3443359375;0.0076171875;0.0439670138888889;0.0332682291666667;0.00295138888888889;0.00668402777777778;0.0116970486111111;0.00169270833333333;0.00659722222222222;0.0679470486111111;0.0141059027777778;0.00167100694444444;0.00894097222222222;0.0255642361111111;0.00516493055555556;0.00197482638888889;0.00247395833333333;0.00579427083333333;0.0233940972222222;0.00703125;0.0319010416666667;0;0.0282335069444444;0.0363064236111111;0;0.00828993055555556;0.0005859375;0;0.00078125;0.00364583333333333;0
"CF";0;0.00190062449090415;0.0292560412707032;0.00834917187075753;0.0400488732011947;0.00536247624219386;0.176622318761879;0.293782242736899;0.0369264186804236;0.0228753733369536;0.000882432799348357;0.00169698615259299;0.00441216399674179;0.00013575889220744;0.00658430627206082;0.0207032310616345;0.01405104534347;0.00142546836817812;0.0302063535161553;0.0277626934564214;0.00916372522400217;0.00291881618245995;0.00488732011946783;0.00746673907140918;0.0222644583220201;0.017445017648656;0.0733776812381211;0;0.0629242465381483;0.057901167526473;0;0.0132364919902254;0.000475156122726039;0;0.00183274504480043;0.00325821341297855;0
"CG";0.00507456795692256;0.0307011361393815;0.0041160384539483;0.00910603027825548;0.0288686532660483;0.0150263595613318;0.276704913873305;0.000253728397846128;0.196301203800288;0.0461503763637901;0.00676609060923008;0.0065687462997942;0.0261904090665614;0.00276282033210228;0.00451072707282005;0.0478700910603028;0.0165487299484086;0.00284739646471766;0.020467424092921;0.0330410758084069;0.0064559781229737;0.00129683403343576;0.00183248287333315;0.00493360773589693;0.0173662992303572;0.00921879845507598;0.0687040117278904;0;0.00513095204533281;0.090214541456401;0;0.00986721547179386;0.000563840884102506;0;0.00115587381241014;0.00335485326040991;0
"CH";0;0.0440992273281822;0.00341602277348516;0.00338348922326149;0.00611630744204961;0.00844245628304189;0.0359983733224888;3.25335502236682e-05;0.0287596583977227;0.465912972753152;0.0112403416022773;0.0226921512810085;0.032745018300122;0.00276535176901179;0.0117283448556324;0.0525416836112241;0.0553558357055714;0.00408296055307035;0.0123139487596584;0.0257177714518097;0.0057747051647011;0.00120374135827572;0.00159414396095974;0.00396909312728752;0.0148352989019927;0.00795445302968686;0.051077673851159;0;0.00463603090687271;0.0718340788938593;0;0.00608377389182595;0.000829605530703538;0;0.00104107360715738;0.00180561203741358;0
"CI";0;0.00129347513653349;0.00423972405863754;0.0123598735268755;0.0146593848807128;0.00517390054613395;0.0165995975855131;7.18597298074159e-05;0.0888904857717735;0.138545559068698;0.253089968381719;0.0843633227939063;0.0593561368209256;0.00323368784133372;0.036289163552745;0.0199770048864616;0.00883874676631216;0.0045271629778672;0.015377982178787;0.0247197470537511;0.00582063811440069;0.00402414486921529;0.0031618281115263;0.0224202356999138;0.0265881000287439;0.00668295487208968;0.061511928715148;0;0.00847944811727508;0.0514515665421098;0;0.0132221902845645;0.000503018108651912;0;0.000934176487496407;0.00352112676056338;0
