"PRODUCT";"AZ";"BZ";"CA";"CB";"CC";"CD";"CE";"CF";"CG";"CH";"CI";"CJ";"CK";"CL";"CM";"DZ";"EZ";"FZ";"GZ";"HZ";"IZ";"JA";"JB";"JC";"KZ";"LZ";"MA";"MB";"MC";"NZ";"OZ";"PZ";"QA";"QB";"RZ";"SZ";"TZ"
"AZ";0.995826806029944;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00285061249646884;0.000282493130280695;0;0.000924522971827731;0.000115565371478466;0;0
"BZ";0;0.999593743652245;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000406256347755434;0;0;0;0;0;0
"CA";0.0788151780368903;0;0.92118482196311;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CB";0;0;0;0.995963968179691;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00403603182030884;0;0;0
"CC";0;0;0;0;0.998127798127798;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00187220187220187;0;0;0
"CD";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CE";0;0;0;0;0;0;0.99851762214491;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000605052185751021;0.00087732566933898;0;0;0;0;0
"CF";0;0;0;0;0;0;0;0.999853619263705;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000146380736295104;0;0;0;0
"CG";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CH";0;0;0;0;0;0;0;0;0;0.999771634752623;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.85095742129963e-05;1.14182623688327e-05;3.42547871064981e-05;0.000114182623688327;0;0
